epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787640054,211.21,236864,152160,1534,664,258,258,-69,236864,152160,767,664,258,144,258,144,0,0,0,0,0,0,0,0
1787640055,212.30,236864,152160,1534,664,258,258,-69,236864,152160,767,664,258,144,258,144,0,0,0,0,0,0,0,0
1787640056,213.39,236864,152160,1534,664,258,258,-69,236864,152160,767,664,258,144,258,144,0,0,0,0,0,0,0,0
1787640057,214.49,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640058,215.59,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640059,216.69,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640060,217.79,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640062,218.89,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640063,219.99,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640064,221.10,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640065,222.21,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640066,223.31,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640067,224.40,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640068,225.50,236864,152320,1534,667,258,258,-69,236864,152320,767,667,258,146,258,146,0,0,0,0,0,0,0,0
1787640069,226.61,239488,155392,1586,684,277,277,-70,239488,155392,793,684,277,162,277,162,0,0,0,0,0,0,0,0
1787640070,227.71,240064,158336,1600,701,279,279,-71,240064,158336,800,701,279,172,279,172,0,0,0,0,0,0,0,0
1787640071,228.81,240064,158368,1600,702,279,279,-71,240064,158368,800,702,279,172,279,172,0,0,0,0,0,0,0,0
1787640073,229.91,240064,158368,1600,702,279,279,-71,240064,158368,800,702,279,172,279,172,0,0,0,0,0,0,0,0
1787640074,231.01,240064,158368,1602,702,279,279,-71,240064,158368,801,702,279,174,279,174,0,0,0,0,0,0,0,0
1787640075,232.11,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640076,233.21,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640077,234.32,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640078,235.43,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640079,236.54,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640080,237.65,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640081,238.75,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640083,239.85,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640084,240.95,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640085,242.05,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
1787640086,243.15,240128,158496,1602,705,279,279,-72,240128,158496,801,705,279,174,279,174,0,0,0,0,0,0,0,0
